"date","weekday","day_type","hour_type","hour","weather","temp","traffic","jams","crash","address"
"2024-11-27 11:00:00","wednesday","workday","morning","11","rain","4","41032","4","1","Калинина"
"2024-11-27 12:00:00","wednesday","workday","afternoon","12","rain","4","40391","5","3","Железнодорожная, Кореновская, Карасунская"
"2024-11-27 13:00:00","wednesday","workday","afternoon","13","cloudy","4","37598","5","0","0"
"2024-11-27 14:00:00","wednesday","workday","afternoon","14","cloudy","4","40391","4","1","Новороссийская"
"2024-11-27 15:00:00","wednesday","workday","afternoon","15","cloudy","4","41148","4","0","0"
"2024-11-27 16:00:00","wednesday","workday","afternoon","16","cloudy","4","37016","5","1","Железнодорожная"
"2024-11-27 17:00:00","wednesday","workday","afternoon","17","cloudy","4","25608","7","0","0"
"2024-11-27 18:00:00","wednesday","workday","evening","18","cloudy","4","25899","8","1","Рашпилевская"
"2024-11-27 19:00:00","wednesday","workday","evening","19","cloudy","4","31195","7","0","0"
"2024-11-27 20:00:00","wednesday","workday","evening","20","rain","4","28926","5","0","0"
"2024-11-27 21:00:00","wednesday","workday","evening","21","rain","4","24836","2","0","0"
"2024-11-27 22:00:00","wednesday","workday","evening","22","rain","3","21010","1","1","Калинина"
"2024-11-27 23:00:00","wednesday","workday","evening","23","rain","3","14317","0","0","0"
"2024-11-28 00:00:00","thursday","workday","night","0","clear","3","8090","0","0","0"
"2024-11-28 01:00:00","thursday","workday","night","1","clear","3","5296","0","0","0"
"2024-11-28 02:00:00","thursday","workday","night","2","clear","3","3201","0","0","0"
"2024-11-28 03:00:00","thursday","workday","night","3","clear","3","2619","0","1","Фадеева"
"2024-11-28 04:00:00","thursday","workday","night","4","cloudy","3","2968","0","0","0"
"2024-11-28 05:00:00","thursday","workday","night","5","cloudy","3","4481","0","1","Московская"
"2024-11-28 06:00:00","thursday","workday","morning","6","cloudy","3","10418","2","1","Суворова"
"2024-11-28 07:00:00","thursday","workday","morning","7","cloudy","3","20894","4","1","Трамвайная"
"2024-11-28 08:00:00","thursday","workday","morning","8","rain","4","28751","6","0","0"
"2024-11-28 09:00:00","thursday","workday","morning","9","rain","4","32592","5","1","Героев-Разведчиков"
"2024-11-28 10:00:00","thursday","workday","morning","10","rain","4","41323","5","0","0"
"2024-11-28 11:00:00","thursday","workday","morning","11","rain","5","39285","5","2","Восточно-Кругликовская, Красная"
"2024-11-28 12:00:00","thursday","workday","afternoon","12","rain","5","40741","6","1","Солнечная"
"2024-11-28 13:00:00","thursday","workday","afternoon","13","cloudy","5","45280","5","0","0"
"2024-11-28 14:00:00","thursday","workday","afternoon","14","cloudy","5","44465","5","0","0"
"2024-11-28 15:00:00","thursday","workday","afternoon","15","cloudy","5","43825","5","1","Трамвайная"
"2024-11-28 16:00:00","thursday","workday","afternoon","16","cloudy","5","40100","6","1","Батуринская, Крупской"
"2024-11-28 17:00:00","thursday","workday","afternoon","17","cloudy","4","26481","8","0","0"
"2024-11-28 18:00:00","thursday","workday","evening","18","cloudy","4","24502","9","0","0"
"2024-11-28 19:00:00","thursday","workday","evening","19","cloudy","4","30497","6","0","0"
"2024-11-28 20:00:00","thursday","workday","evening","20","rain","4","28576","4","1","Ставропольская"
"2024-11-28 21:00:00","thursday","workday","evening","21","rain","3","27703","2","1","Суворова"
"2024-11-28 22:00:00","thursday","workday","evening","22","rain","3","19486","0","0","0"
"2024-11-28 23:00:00","thursday","workday","evening","23","rain","3","13095","0","0","0"
"2024-11-29 00:00:00","friday","workday","night","0","clear","2","8555","0","0","0"
"2024-11-29 01:00:00","friday","workday","night","1","clear","1","5820","0","0","0"
"2024-11-29 02:00:00","friday","workday","night","2","clear","1","3783","0","2","Кузнечная, Сормовская"
"2024-11-29 03:00:00","friday","workday","night","3","clear","0","2502","0","3","Тургенева, Кузнечная, Восточная"
"2024-11-29 04:00:00","friday","workday","night","4","cloudy","-1","3783","0","0","0"
"2024-11-29 05:00:00","friday","workday","night","5","cloudy","-1","4888","1","1","Полины_Осипенко"
"2024-11-29 06:00:00","friday","workday","morning","6","cloudy","-1","10476","2","0","0"
"2024-11-29 07:00:00","friday","workday","morning","7","cloudy","0","20021","4","2","Максима_Горького, Железнодорожная"
"2024-11-29 08:00:00","friday","workday","morning","8","rain","0","25084","5","0","0"
"2024-11-29 09:00:00","friday","workday","morning","9","rain","1","35037","4","0","0"
"2024-11-29 10:00:00","friday","workday","morning","10","rain","3","35270","4","0","0"
"2024-11-29 11:00:00","friday","workday","morning","11","rain","4","39518","4","2","Новороссийская, Чапаева"
"2024-11-29 12:00:00","friday","workday","afternoon","12","rain","5","41264","5","1","Российская"
"2024-11-29 13:00:00","friday","workday","afternoon","13","cloudy","6","42661","5","0","0"
"2024-11-29 14:00:00","friday","workday","afternoon","14","cloudy","6","40508","6","1","Тенистая"
"2024-11-29 15:00:00","friday","workday","afternoon","15","cloudy","6","42778","6","1","Красная, Батуринская"
"2024-11-29 16:00:00","friday","workday","afternoon","16","cloudy","6","37132","7","1","Железнодорожная"
"2024-11-29 17:00:00","friday","workday","afternoon","17","cloudy","4","27121","8","1","Российская"
"2024-11-29 18:00:00","friday","workday","evening","18","cloudy","2","42074","8","1","Ленина"
"2024-11-29 19:00:00","friday","workday","evening","19","cloudy","2","28693","7","1","Российская"
"2024-11-29 20:00:00","friday","workday","evening","20","rain","2","29275","3","0","0"
"2024-11-29 21:00:00","friday","workday","evening","21","rain","2","30788","1","1","Тенистая"
"2024-11-29 22:00:00","friday","workday","evening","22","rain","2","22116","0","0","0"
"2024-11-29 23:00:00","friday","workday","evening","23","rain","2","13910","0","1","Кузнечная"
