iter	Passed	Remaining
615	5782	9283
616	5791	9274
617	5800	9263
618	5809	9253
619	5818	9244
620	5828	9234
621	5837	9225
622	5847	9216
623	5856	9207
624	5866	9198
625	5875	9189
626	5885	9180
627	5895	9171
628	5905	9163
629	5915	9155
630	5925	9146
631	5935	9137
632	5945	9128
633	5955	9120
634	5965	9112
635	5974	9103
636	5984	9094
637	5994	9085
638	6003	9075
639	6012	9065
640	6022	9056
641	6031	9047
642	6040	9037
643	6050	9028
644	6059	9019
645	6069	9009
646	6078	9000
647	6087	8990
648	6097	8981
649	6107	8972
650	6116	8963
651	6126	8954
652	6136	8946
653	6146	8937
654	6155	8927
655	6165	8919
656	6174	8909
657	6184	8901
658	6194	8892
659	6204	8883
660	6213	8873
661	6222	8864
662	6232	8855
663	6241	8845
664	6251	8836
665	6260	8826
666	6269	8817
667	6279	8807
668	6288	8798
669	6298	8789
670	6307	8779
671	6316	8770
672	6326	8760
673	6336	8752
674	6346	8743
675	6355	8734
676	6364	8724
677	6374	8715
678	6384	8706
679	6394	8697
680	6403	8688
681	6413	8679
682	6422	8670
683	6432	8661
684	6442	8652
685	6451	8642
686	6460	8633
687	6470	8623
688	6479	8614
689	6488	8604
690	6498	8595
691	6507	8585
692	6517	8576
693	6526	8567
694	6536	8558
695	6546	8549
696	6556	8540
697	6566	8532
698	6575	8522
699	6585	8513
700	6595	8505
701	6604	8496
702	6614	8487
703	6624	8477
704	6634	8469
705	6643	8459
706	6652	8449
707	6662	8440
708	6671	8431
709	6680	8421
710	6690	8411
711	6699	8402
712	6708	8393
713	6718	8383
714	6727	8374
715	6737	8364
716	6747	8356
717	6756	8346
718	6766	8338
719	6776	8329
720	6786	8320
721	6796	8311
722	6805	8301
723	6815	8293
724	6825	8284
725	6835	8275
726	6844	8266
727	6854	8257
728	6864	8248
729	6873	8239
730	6883	8229
731	6892	8220
732	6902	8210
733	6911	8201
734	6920	8192
735	6930	8182
736	6940	8173
737	6949	8163
738	6959	8155
739	6968	8145
740	6978	8137
741	6988	8128
742	6998	8119
743	7008	8110
744	7018	8101
745	7028	8093
746	7038	8083
747	7048	8075
748	7058	8066
749	7067	8057
750	7077	8048
751	7087	8038
752	7096	8029
753	7106	8020
754	7115	8010
755	7125	8001
756	7134	7992
757	7143	7982
758	7153	7973
759	7162	7964
760	7172	7954
761	7181	7945
762	7191	7936
763	7201	7927
764	7211	7918
765	7221	7909
766	7231	7900
767	7241	7891
768	7250	7882
769	7260	7873
770	7271	7865
771	7280	7855
772	7289	7846
773	7299	7837
774	7308	7827
775	7317	7817
776	7327	7808
777	7336	7798
778	7346	7789
779	7355	7780
780	7365	7770
781	7375	7761
782	7384	7752
783	7394	7743
784	7404	7734
785	7414	7725
786	7424	7716
787	7433	7707
788	7444	7698
789	7454	7690
790	7463	7680
791	7473	7672
792	7483	7662
793	7493	7653
794	7503	7644
795	7512	7635
796	7522	7625
797	7531	7616
798	7540	7606
799	7550	7597
800	7559	7587
801	7568	7578
802	7578	7568
803	7587	7559
804	7597	7550
805	7607	7541
806	7617	7532
807	7627	7523
808	7637	7514
809	7646	7505
810	7656	7496
811	7666	7486
812	7676	7477
813	7686	7469
814	7695	7459
815	7705	7450
816	7715	7441
817	7724	7432
818	7734	7422
819	7743	7413
820	7753	7403
821	7762	7394
822	7771	7384
823	7781	7374
824	7790	7365
825	7799	7356
826	7809	7346
827	7819	7337
828	7828	7328
829	7838	7319
830	7848	7309
831	7858	7300
832	7868	7292
833	7877	7282
834	7887	7273
835	7897	7264
836	7907	7255
837	7916	7246
838	7926	7236
839	7935	7227
840	7945	7217
841	7954	7208
842	7963	7198
843	7973	7189
844	7982	7179
845	7991	7169
846	8001	7160
847	8010	7150
848	8020	7141
849	8029	7132
850	8039	7123
851	8049	7114
852	8059	7104
853	8069	7096
854	8078	7086
855	8088	7077
856	8099	7068
857	8108	7059
858	8118	7050
859	8128	7041
860	8138	7032
861	8147	7022
862	8157	7013
863	8166	7004
864	8175	6994
865	8185	6984
866	8194	6975
